2021-07-06 16:07:698 INFO  BasePage :33 - Launching Chrome Browser 
2021-07-06 16:07:663 INFO  Homepage :22 - Mouse Hover on buy + sell tab : [[ChromeDriver: chrome on WINDOWS (1a5b22d6a38152da226e37edeca3d1ee)] -> xpath: //a[contains(text(),'buy + sell')]]
2021-07-06 16:07:243 INFO  Homepage :28 - Clicking on search car menu : [[ChromeDriver: chrome on WINDOWS (1a5b22d6a38152da226e37edeca3d1ee)] -> xpath: //a[contains(text(),'Search Cars')]]
2021-07-06 16:07:354 INFO  Homepage :33 - Mouse Hover on buy + sell tab : [[ChromeDriver: chrome on WINDOWS (1a5b22d6a38152da226e37edeca3d1ee)] -> xpath: //h1[contains(text(),'New & Used Car Search - carsguide')]]
2021-07-06 16:07:320 INFO  Homepage :40 - Select value from make : [[ChromeDriver: chrome on WINDOWS (1a5b22d6a38152da226e37edeca3d1ee)] -> xpath: //select[@id='makes']]
2021-07-06 16:07:930 INFO  Homepage :46 - Select value from model : [[ChromeDriver: chrome on WINDOWS (1a5b22d6a38152da226e37edeca3d1ee)] -> xpath: //select[@id='models']]
2021-07-06 16:07:579 INFO  Homepage :52 - Select value from location : [[ChromeDriver: chrome on WINDOWS (1a5b22d6a38152da226e37edeca3d1ee)] -> xpath: //select[@id='locations']]
2021-07-06 16:07:988 INFO  Homepage :58 - Select value from price : [[ChromeDriver: chrome on WINDOWS (1a5b22d6a38152da226e37edeca3d1ee)] -> xpath: //select[@id='priceTo']]
2021-07-06 16:07:951 INFO  Homepage :64 - Click on Proxy element for: DefaultElementLocator 'By.xpath: //input[@id='search-submit']'
2021-07-06 16:07:33 INFO  Homepage :18 - getting text from [[ChromeDriver: chrome on WINDOWS (1a5b22d6a38152da226e37edeca3d1ee)] -> xpath: //h1[@class = 'listing-search-title']]
2021-07-06 16:07:483 INFO  BasePage :33 - Launching Chrome Browser 
2021-07-06 16:07:283 INFO  Homepage :22 - Mouse Hover on buy + sell tab : [[ChromeDriver: chrome on WINDOWS (7198decc52e6498cbef26de9c426f099)] -> xpath: //a[contains(text(),'buy + sell')]]
2021-07-06 16:07:999 INFO  Homepage :28 - Clicking on search car menu : [[ChromeDriver: chrome on WINDOWS (7198decc52e6498cbef26de9c426f099)] -> xpath: //a[contains(text(),'Search Cars')]]
2021-07-06 16:07:52 INFO  NewAndUsedCarSearchPage :33 - Mouse Hover on buy + sell tab : [[ChromeDriver: chrome on WINDOWS (7198decc52e6498cbef26de9c426f099)] -> xpath: //h1[contains(text(),'New & Used Car Search - carsguide')]]
2021-07-06 16:07:708 INFO  NewAndUsedCarSearchPage :40 - Select value from make : [[ChromeDriver: chrome on WINDOWS (7198decc52e6498cbef26de9c426f099)] -> xpath: //select[@id='makes']]
2021-07-06 16:07:378 INFO  NewAndUsedCarSearchPage :46 - Select value from model : [[ChromeDriver: chrome on WINDOWS (7198decc52e6498cbef26de9c426f099)] -> xpath: //select[@id='models']]
2021-07-06 16:07:231 INFO  NewAndUsedCarSearchPage :52 - Select value from location : [[ChromeDriver: chrome on WINDOWS (7198decc52e6498cbef26de9c426f099)] -> xpath: //select[@id='locations']]
2021-07-06 16:07:582 INFO  NewAndUsedCarSearchPage :58 - Select value from price : [[ChromeDriver: chrome on WINDOWS (7198decc52e6498cbef26de9c426f099)] -> xpath: //select[@id='priceTo']]
2021-07-06 16:07:446 INFO  NewAndUsedCarSearchPage :64 - Click on Proxy element for: DefaultElementLocator 'By.xpath: //input[@id='search-submit']'
2021-07-06 16:07:499 INFO  AllNewAndUsedPage :18 - getting text from [[ChromeDriver: chrome on WINDOWS (7198decc52e6498cbef26de9c426f099)] -> xpath: //h1[@class = 'listing-search-title']]
